Article Title,Author Keywords,Keywords Plus,Abstract
Learning behavior mining and decision recommendation based on association rules in interactive learning environment,Interactive learning; online learning; association rules; frequent item set; decision recommendation; learning analytics,BIG DATA; EDUCATION,"The interactive learning is a continuous process, which is full of a large number of learning interaction activities. The data generated between learners and learning interaction activities can reflect the online learning behaviors. Through the correlation analysis among learning interaction activities, this paper discusses the potential association rules, defines the data structures, mines the frequent item sets, and designs appropriate algorithms, then recommend learning decision makings based on association rules. The research methods and conclusions can provide feasible educational decision makings for the realization of personalization, probability prediction and decision feedback, which will improve the interactive learning environment, the algorithms, methods and modes designed in this paper are useful supplements for learning analytics."
ARCS-Assisted Teaching Robots Based on Anticipatory Computing and Emotional Big Data for Improving Sustainable Learning Efficiency and Motivation,sustainable learning; robot-assisted teaching; ARCS model; anticipatory computing; artificial intelligence; emotional big data,,"Under the vigorous development of global anticipatory computing in recent years, there have been numerous applications of artificial intelligence (AI) in people's daily lives. Learning analytics of big data can assist students, teachers, and school administrators to gain new knowledge and estimate learning information; in turn, the enhanced education contributes to the rapid development of science and technology. Education is sustainable life learning, as well as the most important promoter of science and technology worldwide. In recent years, a large number of anticipatory computing applications based on AI have promoted the training professional AI talent. As a result, this study aims to design a set of interactive robot-assisted teaching for classroom setting to help students overcoming academic difficulties. Teachers, students, and robots in the classroom can interact with each other through the ARCS motivation model in programming. The proposed method can help students to develop the motivation, relevance, and confidence in learning, thus enhancing their learning effectiveness. The robot, like a teaching assistant, can help students solving problems in the classroom by answering questions and evaluating students' answers in natural and responsive interactions. The natural interactive responses of the robot are achieved through the use of a database of emotional big data (Google facial expression comparison dataset). The robot is loaded with an emotion recognition system to assess the moods of the students through their expressions and sounds, and then offer corresponding emotional responses. The robot is able to communicate naturally with the students, thereby attracting their attention, triggering their learning motivation, and improving their learning effectiveness."
Data-driven educational algorithms pedagogical framing,teaching practice; learning conditions; sciences of education; experimental education; educational research; electronic data processing,BIG DATA; LEARNING ANALYTICS,"Data from students and learning practices are essential for feeding the artificial intelligence systems used in education. Recurrent data trains the algorithms so that they can be adapted to new situations, either to optimize coursework or to manage repetitive tasks. As the algorithms spread in different learning contexts and the actions which they perform expand, pedagogical interpretative frameworks are required to use them properly. Based on case analyses and a literature review, the paper analyses the limits of learning practices based on the massive use of data from a pedagogical approach. The focus is on data capture, biases associated with datasets, and human intervention both in the training of artificial intelligence algorithms and in the design of machine learning pipelines. In order to facilitate the adequate use of data-driven learning practices, it is proposed to frame appropriate heuristics to determine the pedagogical suitability of artificial intelligence systems and also their evaluation both in terms of accountability and of the quality of the teaching-learning process. Thus, finally, a set of top-down proposed rules that can contribute to fill the identified gaps to improve the educational use of data-driven educational algorithms is discussed."
Advanced Learning Analytics in Academic Education: Academic Performance Forecasting Based on an Artificial Neural Network,Academic Evaluation; Decision Support Systems; Key Performance Indicator; Neural Networks,DECISION-SUPPORT-SYSTEM; BIG DATA; STUDENT; FRAMEWORK; IMPACT,"The integration of innovative data mining and decision-making techniques in the context of higher education is a bold initiative towards enhanced performance. Predictive and descriptive analytics add interesting insights for significant aspects the education. The purpose of this article is to summarize a novel approach for the adoption of artificial intelligence (AI) techniques towards forecasting of academic performance. The added value of applying AI techniques for advanced decision making in education is the realization that the scientific approach to standard problems in academia, like the enhancement of academic performance is feasible. For the purpose of this research the authors promote a research in Saudi Arabia. The vision of the Knowledge Society in the Kingdom of Saudi Arabia is a critical milestone towards digital transformation. The human capital and the integration of industry and academia has to be based on holistic approaches to skills and competencies management. One of the main objectives of an academic decision maker is to ensure that academic resources are adequately planned and that students are properly advised. To achieve such an objective, an extensive analysis of large volumes of data may be required. This research develops a decision support system (DSS) that is based on an artificial neural network (ANN) model that can be deployed for effective academic planning and advising. The system is based on evaluating academic metrics against academic performance for students. The model integrates inputs from relevant academic data sources into an autonomous ANN. A simulation of real data on an ANN is conducted to validate the system's accuracy. Moreover, an ANN is compared with different mathematical approaches. The system enables the quality assurance of planning, advising, and the monitoring of academic decisions. The overall contribution of this work is a novel approach to the deployment of Artificial Intelligent for advanced decision making in higher education. In future work this model is integrated with big data and analytics research for advanced visualizations"
Library analytics as moral dilemmas for academic librarians,Library analytics; Surveillance; Big data; Moral dilemmas; Academic libraries,LEARNING ANALYTICS; PRIVACY; NUDGE,"Library analytics in academic libraries, especially in the United States, are part of the expanding web of societywide surveillance. The use of library analytics systems poses serious threats to the well-being of many actors, especially students. Academic librarians are faced with new moral challenges by such systems as described here and must determine the extent to which they wish to participate in the surveillance of students for whom they are responsible. The column concludes with some recommendations from the literature and with consideration of the roles of free inquiry, freedom from surveillance, and exercise of autonomy essential to higher education and full citizenship."
Introducing innovative technologies in higher education: An experience in using geographic information systems for the teaching-learning process,enhanced science and engineering education; experiential learning; geographic information systems; innovative technologies; learning analytics,GIS EDUCATION; SPATIAL THINKING; STUDENTS; SCIENCE,"In today's world, new technologies are being used for the teaching-learning process in the classroom. Their use to support learning can provide significant advantages for the teaching-learning process and have potential benefits for students, as many of these technologies are a part of the work life of many current professions. The aim of this study is to analyse the use of innovative technologies for engineering and science education after examining the data obtained from students in their learning process and experiences. The study has been focused on computational geographic information systems, which allow access to and management of large volumes of information and data, and on the assessment of this tool as a basis for a suitable methodology to enhance the teaching-learning process, taking into account the great social impact of big data. The results allow identifying the main advantages, opportunities, and drawbacks of using these technological tools for educational purposes. Finally, a set of initiatives has been proposed to complement the teaching activity and to improve user experience in the educational field."
Reporting Writing Process Feedback in the Classroom Using Keystroke Logging Data to Reflect on Writing Processes,process feedback; writing processes; keystroke logging; self-assessment; writing from sources,FORMATIVE ASSESSMENT; LEARNING ANALYTICS; STUDENTS; MODEL; BELIEFS; TRANSLATION; PRINCIPLES; EXEMPLARS; SUPPORT; PRODUCT,"Keystroke loggers facilitate researchers to collect fine-grained process data and offer support in analyzing these data. Keystroke logging has become popular in writing research, and study by study we are now paving the path to a better understanding of writing process data. However, few researchers have concentrated on how to bring keystroke logging to the classroom. Not because they are not convinced that writing development could benefit from a more process-oriented pedagogy, but because 'translating' complex and large data sets to an educational context is challenging. Therefore, we have developed a new function in Inputlog, specifically aiming to facilitate writing tutors in providing process feedback to their students. Based on an XML- logfile, the so-called 'report' function automatically generates a pdf-file addressing different perspectives of the writing process: pausing, revision, source use, and fluency. These perspectives are reported either quantitatively or visually. Brief introductory texts explain the information presented. Inputlog provides a default feedback report, but users can also customize the report. This paper describes the process report and demonstrates the use of it in an intervention. We also present some additional pedagogical scenarios to actively use this type of feedback in writing classes."
Fueling Prediction of Player Decisions: Foundations of Feature Engineering for Optimized Behavior Modeling in Serious Games,Feature selection; Feature engineering; Educational data mining; Behavior modeling; Game-based learning; Serious games,,"As a digital learning medium, serious games can be powerful, immersive educational vehicles and provide large data streams for understanding player behavior. Educational data mining and learning analytics can effectively leverage big data in this context to heighten insight into student trajectories and behavior profiles. In application of these methods, distilling event-stream data down to a set of salient features for analysis (i.e. feature engineering) is a vital element of robust modeling. This paper presents a process for systematic game-based feature engineering to optimize insight into player behavior: the IDEFA framework (Integrated Design of Event-stream Features for Analysis). IDEFA aligns game design and data collection for high-resolution feature engineering, honed through critical, iterative interplay with analysis. Building on recent research in game-based data mining, we empirically investigate IDEFA application in serious games. Results show that behavioral models which used a full feature set produced more meaningful results than those with no feature engineering, with greater insight into impactful learning interactions, and play trajectories characterizing groups of players. This discovery of emergent player behavior is fueled by the data framework, resultant base data stream, and rigorous feature creation process put forward in IDEFA-integrating iterative design, feature engineering, and analysis for optimal insight into serious play."
Education as a domain of natural data extraction: analysing corporate discourse about educational tracking,Big data; datafication; data collection; surveillance; dataveillance,BIG DATA; MEDIA REPRESENTATION; SURVEILLANCE; DATAVEILLANCE; INFORMATION; TECHNOLOGY; METAPHORS; SCHOOLS,"Digital platforms and learning analytics are becoming increasingly widespread in the education sector: commercial corporations argue their benefits for teaching and learning, thereby endorsing the continuous automated collection and processing of student data for measurement, assessment, management, and identity formation. Largely missing in these discourses, however, are the potential costs of datafication for pupils' and teachers' agency and the meaning of education itself. This article explores the general discursive framing by which these surveillant practices in education have come to seem natural. Through a study of commercial suppliers of educational platforms, we show how the prevailing vision of datafication in their discourses categorises software systems, not teachers, as central to education, reimagining space, time, and agency within educational processes around the organisation of data systems and the demands of commercial data production. Not only does this legitimate the new connective environment of dataveillance (that is, surveillance through data processing), but it also naturalises a widernormativeenvironment in which teachers and students are assigned new roles and responsibilities. In the process, the panoptic possibilities of ubiquitous commercial access to personal educational data are presented as part of a virtuous circle of knowledge production and even training for good citizenship. This broader rethinking of educationthroughsurveillance must itself be critiqued."
Performance-based evaluation of academic libraries in the big data era,Academic libraries; big data analytics; evaluation; librarians; performance; skills,DATA ANALYTICS; FIRM PERFORMANCE; LEARNING ANALYTICS; DIGITAL LIBRARY; MANAGEMENT; QUALITY; CHALLENGES; EDUCATION; IMPACT; IMPLEMENTATION,"The concept of big data has been extensively considered as a technological modernisation in organisations and educational institutes. Thus, the purpose of this study is to determine whether the modified technology acceptance model (MTAM) is viable for evaluating the performance of librarians in the use of big data analytics in academic libraries. This study used an empirical research method for collecting data from 211 librarians working in Pakistan's universities. On the basis of the findings of the MTAM analysis by structural equation modelling, the performances of the academic libraries were comprehended through the process of big data. The main influential components of the performance analysis in this study were the big data analytics capabilities, perceived ease of access and the usefulness of big data practices in academic libraries. Subsequently, the utilisation of big data was significantly affected by skills, perceived ease of access and the usefulness of academic libraries. The results also suggested that the various components of the academic libraries lead to effective organisational performance when linked to big data analytics."
Multimodal Data Value Chain (M-DVC): A Conceptual Tool to Support the Development of Multimodal Learning Analytics Solutions,Data Value Chain; Multimodal Learning Analytics; Usefulness; Evaluation; Stakeholder communication; Conceptual tools,,"Multimodal Learning Analytics (MMLA) systems, understood as those that exploit multimodal evidence of learning to better model a learning situation, have not yet spread widely in educational practice. Their inherent technical complexity, and the lack of educational stakeholder involvement in their design, are among the hypothesized reasons for the slow uptake of this emergent field. To aid in the process of stakeholder communication and systematization leading to the specification of MMLA systems, this paper proposes a Multimodal Data Value Chain (M-DVC). This conceptual tool, derived from both the field of Big Data and the needs of MMLA scenarios, has been evaluated in terms of its usefulness for stakeholders, in three authentic case studies of MMLA systems currently under development. The results of our mixed-methods evaluation highlight the usefulness of the M-DVC to elicit unspoken assumptions or unclear data processing steps in the initial stages of development. The evaluation also revealed limitations of the M-DVC in terms of the technical terminology employed, and the need for more detailed contextual information to be included. These limitations also prompt potential improvements for the M-DVC, on the path towards clearer specification and communication within the multi-disciplinary teams needed to build educationally-meaningful MMLA solutions."
"Prerequisites for artificial intelligence in further education: identification of drivers, barriers, and business models of educational technology companies",Learning analytics; Algorithms-based learning; Artificial intelligence; Further education; Higher education; Business models; Educational technology,LEARNING ANALYTICS; BIG DATA; BENEFITS; FUTURE,"The ongoing datafication of our social reality has resulted in the emergence of new data-based business models. This development is also reflected in the education market. An increasing number of educational technology (EdTech) companies are entering the traditional education market with data-based teaching and learning solutions, and they are permanently transforming the market. However, despite the current market dynamics, there are hardly any business models that implement the possibilities of Learning Analytics (LA) and Artificial Intelligence (AI) to create adaptive teaching and learning paths. This paper focuses on EdTech companies and the drivers and barriers that currently affect data-based teaching and learning paths. The results show that LA especially are integrated into the current business models of EdTech companies on three levels, which are as follows: basic Learning Analytics, Learning Analytics and algorithmic or human-based recommendations, and Learning Analytics and adaptive teaching and learning (AI based). The discourse analysis reveals a diametrical relationship between the traditional educational ideal and the futuristic idea of education and knowledge transfer. While the desire for flexibility and individualization drives the debate on AI-based learning systems, a lack of data sovereignty, uncertainty and a lack of understanding of data are holding back the development and implementation of appropriate solutions at the same time."
Advancing Agricultural Production With Machine Learning Analytics: Yield Determinants for California's Almond Orchards,Prunus dulcis; yield gap; artificial intelligence; big data; light interceptioon; nutrient management,TEMPERATURE; CROPS; PRECIPITATION; TREE,"Agricultural productivity is subject to various stressors, including abiotic and biotic threats, many of which are exacerbated by a changing climate, thereby affecting long-term sustainability. The productivity of tree crops such as almond orchards, is particularly complex. To understand and mitigate these threats requires a collection of multi-layer large data sets, and advanced analytics is also critical to integrate these highly heterogeneous datasets to generate insights about the key constraints on the yields at tree and field scales. Here we used a machine learning approach to investigate the determinants of almond yield variation in California's almond orchards, based on a unique 10-year dataset of field measurements of light interception and almond yield along with meteorological data. We found that overall the maximum almond yield was highly dependent on light interception, e.g., with each one percent increase in light interception resulting in an increase of 57.9 lbs/acre in the potential yield. Light interception was highest for mature sites with higher long term mean spring incoming solar radiation (SRAD), and lowest for younger orchards when March maximum temperature was lower than 19 degrees C. However, at any given level of light interception, actual yield often falls significantly below full yield potential, driven mostly by tree age, temperature profiles in June and winter, summer mean daily maximum vapor pressure deficit (VPDmax), and SRAD. Utilizing a full random forest model, 82% (+/- 1%) of yield variation could be explained when using a sixfold cross validation, with a RMSE of 480 +/- 9 lbs/acre. When excluding light interception from the predictors, overall orchard characteristics (such as age, location, and tree density) and inclusive meteorological variables could still explain 78% of yield variation. The model analysis also showed that warmer winter conditions often limited mature orchards from reaching maximum yield potential and summer VPDmax beyond 40 hPa significantly limited the yield. Our findings through the machine learning approach improved our understanding of the complex interaction between climate, canopy light interception, and almond nut production, and demonstrated a relatively robust predictability of almond yield. This will ultimately benefit data-driven climate adaptation and orchard nutrient management approaches."
