Title,Abstract,Author Keywords,Index Keywords
"Educational data mining/learning analytics: Methods, tasks and current trends","The 1st international conference on ""Educational Data Mining"" (EDM) took place in Montreal in 2008 while the 1st international conference on ""Learning Analytics and Knowledge"" (LAK) took place in Banff in 2011. Since then the fields have grown and established themselves with an annual international conference, a journal and an association each, and gradually increase their overlapping. This paper begins with some considerations on big data in education. Then the principal analysis methods used with educational data are reviewed and are illustrated with some of the tasks they solve. Current emerging trends are presented. Analysis of educational data on a routine basis to understand learning and teaching better and to improve them is not a reality yet. The paper concludes with challenges on the way.",Clustering; Data scientist; Discovery with models; Distillation of data for human judgment; Educational data mining; Learning analytics; Multi modal analysis; Multi-level analysis; Natural language processing; Prediction; Privacy; Relationship min-ing,Data mining; Data privacy; Distillation; E-learning; Education; Forecasting; Modal analysis; Natural language processing systems; Clustering; Data scientist; Educational data mining; Human judgments; Learning analytics; Multi-level analysis; NAtural language processing; Relationship min-ing; Big data
Big data application and its impact on education,"Big data employed in widely different fields; we here study how education uses big data. We review the literature of the research about big data in education in the time interval from 2010 to 2020 then review the process of big educational data mining, the tools, and the applications of big data in education. This paper, with the help of these applications, explores the idea to improve the education process. Two methods are applied to validate the education process, and many parameters are discussed to complete the research. © 2020 Kassel University Press GmbH.",Big data applications; Big data in education; Data mining tools; Educational data mining,Big data; Big data applications; Education process; Educational data mining; Time interval; Data mining
Educational data mining and learning analytics: An updated survey,"This survey is an updated and improved version of the previous one published in 2013 in this journal with the title “data mining in education”. It reviews in a comprehensible and very general way how Educational Data Mining and Learning Analytics have been applied over educational data. In the last decade, this research area has evolved enormously and a wide range of related terms are now used in the bibliography such as Academic Analytics, Institutional Analytics, Teaching Analytics, Data-Driven Education, Data-Driven Decision-Making in Education, Big Data in Education, and Educational Data Science. This paper provides the current state of the art by reviewing the main publications, the key milestones, the knowledge discovery cycle, the main educational environments, the specific tools, the free available datasets, the most used methods, the main objectives, and the future trends in this research area. This article is categorized under:. Application Areas > Education and Learning. © 2020 Wiley Periodicals, Inc.",Big Data in Education; Data Mining on Education; Data-Driven Decision-Making in Education; Educational Data Mining; Educational Data Science,Big data; Decision making; Surveys; Application area; Data driven decision; Educational data mining; Educational environment; Future trends; Specific tool; State of the art; Teaching analytics; Data mining
Achieving big data privacy in education,"Education, Big Data, and student privacy are a combustible mix. The improvement of education and the protection of student privacy are key societal values. Big Data and Learning Analytics offer the promise of unlocking insights to improving education through large-scale empirical analysis of data generated from student information and student interactions with educational technology tools. This article explores how learning technologies also create ethical tensions between privacy and the use of Big Data for educational improvement. We argue for the need to demonstrate the efficacy of learning systems while respecting privacy and how to build accountability and oversight into learning technologies. We conclude with policy recommendations to achieve these goals. © The Author(s) 2018.",Big data; educational data mining; higher education; learning analytics; privacy,
SAS tools for educational data mining,"Researchers in the EDM community have always relied on sophisticated tools to analyze data and build models. As the amount of data that can be collected and stored grows, the need for tools capable of handling ""big data"" becomes ever more prevalent. SAS® Analytics U is a new initiative for making SAS data analysis and mining tools available for free to educational researchers and instructors. These tools are designed for handling very large data sets and can be run in the cloud, saving researchers valuable time and resources. Furthermore, SAS Analytics U provides a community of SAS educators and learners to share resources and information about SAS tools and techniques. This tutorial aims to introduce researchers to the tools available through SAS Analytics U and how they can be applied to the field of Educational Data Mining. We will provide an overview of the SAS architecture and provide instruction on the key features of each tool in the suite. We will guide participants through examples using relevant educational data sources to help researchers understand how the tools can be applied to their own work. © 2016, CEUR-WS. All rights reserved.",,Data handling; Data mining; Education; Data-sources; Educational data mining; Key feature; Tools and techniques; Very large datum; Big data
Educational data mining practices in Indian Academia,"The primary objective of the workshop on “Educational Data Mining Practices in Indian Academia” is to bring awareness and a wave of inspiration among the participants, to unveil the hidden wealth of software engineering practices of analyzing and evaluating India’s big data industry in Academia. This industry is expected to grow at a compound annual growth rate in the next few years. The prime focus is made on Academic Analytics of higher education setup of the Nation. © 2017 ACM.",,Big data; Data mining; Compound annual growth rates; Educational data mining; Higher education; Primary objective; Prime-focus; Software engineering practices; Software engineering
Research on the algorithm of education data mining based on big data,"In recent years, research on Educational Data Mining (EDM) has developed rapidly. However, most researches focus on data source issues, and ignore the importance of data preprocessing and data mining algorithms. This paper has studied EDM, with a special focus on educational big data mining algorithms. Firstly, it analyzed the relevant elements of EDM and introduces big data technology based on the requirements of educational data application. Then it introduced the common educational big data mining algorithms and their applications, and finally discussed the development trend of educational big data mining algorithms. © 2020 IEEE.",Big data; Clustering; Data mining; EDM; Semi-supervised,Big data; Data application; Data mining algorithm; Data preprocessing; Data technologies; Data-source; Development trends; Educational data minings (EDM); Data mining
A brief analysis of the key technologies and applications of educational data mining on online learning platform,"With the rapid development of the Internet and communication technology, online education has drawn more and more attention, online learning platforms, on the other hand, store massive learner behavioral data and educational data. How to effectively analyze and utilize the data to improve the quality of online education has become a key issue urgently needed to be solved in the field of big data in education(BDE), educational data mining(EDM) is exactly an effective and practical method and means of applying BDE. Therefore, EDM is an important academic research hotspot in the field of EDM. Firstly, the paper introduces the basic concepts of BDE, EDM and online learning platform, and then elaborates on the process of how educational data mining transforms raw data into knowledge. Finally, the key technologies of data mining are classified according to their uses, and gives its application in online education scene. The paper can provide some guidance for the research and application of educational data mining based on online education. © 2018 IEEE.",big data in education; component; educational data mining; online education; online learning platforms,Big data; Data handling; Data mining; Communication technologies; component; Educational data mining; Educational data minings (EDM); Educational datum; On-line education; Online learning; Research and application; E-learning
Learning analytics in the era of big data: A systematic literature review protocol,"Learning analytics is the art and science of collecting, analyzing and reporting data about learners and their learning environments in order to better understand and optimize the learning process and its environment. It is closely associated to educational data mining. Machine learning, data mining and human computer interaction techniques are used to the data collected about learners and their interactions. It aims at leveraging the learning process and learners' experience through the use of ubiquitous sensor based infrastructure, increased collection of large and diverse set of data, and subsequently applying machine learning and data analytics could really make it useful. Big data principles can be also very helpful to solve the mysteries related to the collection, storage management and analysis of large and heterogeneous set of data. Systematic Literature Review (SLR) is a more structured literature review process. It also provides more thorough coverage of the literature thereby minimizing the research bias. This paper aims at developing a systematic literature review protocol for the learning analytics to highlight the applications, issues and challenges, existing solutions and future directions in the context of big data. © 2017 IEEE.",Big Data; Data Mining; Educational Data Mining; Learning Analytics; Machine Learning; Systematic Literature Review Protocol,Big data; Computer aided instruction; Data Analytics; Data mining; Digital storage; Human computer interaction; Learning systems; Machine learning; Storage management; Educational data mining; Issues and challenges; Learning Analytics; Learning environments; Literature reviews; Systematic literature review; Systematic literature review (SLR); Ubiquitous sensor; Information management
Unlocking the potential of learning analytics in computing education,"Big data and online learning have been among the main drivers pushing forward the field of learning analytics (LA). As with work being done in other disciplines, LA in computing education is closely intertwined with the sister field of educational data mining (EDM), with the latter focused more on the technical challenges of extracting meaning from data using data-driven techniques. Learning analytics can be put to use to understand aspects of computing education that are important and yet too difficult, time-consuming, expensive, or not possible otherwise. These include understanding and measuring learning during the process of programming. In addition, some of the papers also emphasize the socio-cognitive aspects of learning computing, including understanding learners as part of a participatory culture that includes social aspects such as how they interact with their peers during the programming process.",,Big data; Data mining; Social aspects; Computing education; Data driven technique; Educational data minings (EDM); Online learning; Programming process; Socio-cognitive; Technical challenges; Education
SAS tools for educational data mining,"Researchers in the EDM community have always relied on sophisticated tools to analyze data and build models. As the amount of data that can be collected and stored grows, the need for tools capable of handling “big data” becomes ever more prevalent. SAS® Analytics U is a new initiative for making SAS data analysis and mining tools available for free to educational researchers and instructors. These tools are designed for handling very large data sets and can be run in the cloud, saving researchers valuable time and resources. Furthermore, SAS Analytics U provides a community of SAS educators and learners to share resources and information about SAS tools and techniques. This tutorial aims to introduce researchers to the tools available through SAS Analytics U and how they can be applied to the field of Educational Data Mining. We will provide an overview of the SAS architecture and provide instruction on the key features of each tool in the suite. We will guide participants through examples using relevant educational data sources to help researchers understand how the tools can be applied to their own work. © 2016 International Educational Data Mining Society. All rights reserved.",,Data handling; Data-sources; Educational data mining; Key feature; Tools and techniques; Very large datum; Data mining
Big data application in education: Dropout prediction in edx MOOCs,"Educational Data Mining and Learning Analytics are two growing fields of study, trying to make sense of education data and to improve teaching and learning experience. We study dropout prediction in Massively Open Online Courses (MOOCS), where the goal is given student's learning behavior log data in one month, to predict whether students would drop out in next ten days. We collect 39 courses data from XuetangX platform, which is based on the open source Edx platform. We describe our complete approach to cope with drop out prediction task, including data extraction from Edx platform, data preprocessing, feature engineering and performance test on several supervised classification model such as SVM, Logistics Regression, Random Forest and Gradient Boosting Decision Tree. We achieve 88% accuracy in dropout prediction task with GBDT model. © 2016 IEEE.",Big Data; Dropout prediction; MOOC; Supervised learning,Data mining; Decision trees; Drops; Education; Education computing; Forecasting; Students; Supervised learning; Teaching; Big data applications; Data preprocessing; Educational data mining; Feature engineerings; Logistics regressions; MOOC; Supervised classification; Teaching and learning; Big data
Educational Data mining with python and apache spark: A hands-on tutorial,"Enormous amount of educational data has been accumu- lated through Massive Open Online Courses (MOOCs), as well as commercial and non-commercial learning platforms. This is in addition to the educational data released by US government since 2012 to facilitate disruption in education by making data freely available. The high volume, variety and velocity of collected data necessitate use of big data tools and storage systems such as distributed databases for storage and Apache Spark for analysis. This tutorial will introduce researchers and faculty to real- world applications involving data mining and predictive an- Alytics in learning sciences. In addition, the tutorial will introduce statistics required to validate and accurately re- port results. Topics will cover how big data is being used to transform education. Specifically, we will demonstrate how exploratory data analysis, data mining, predictive analytics, machine learning, and visualization techniques are being ap- plied to educational big data to improve learning and scale insights driven from millions of student's records. The tutorial will be held over a half day and will be hands on with pre-posted material. Due to the interdisciplinary nature of work, the tutorial appeals to researchers from a wide range of backgrounds including big data, predictive analytics, learning sciences, educational data mining, and in general, those interested in how big data analytics can transform learning. As a prerequisite, attendees are required to have familiarity with at least one programming language. © 2016 Copyright held by the owner/author(s).",Big data; Data mining; Educational data mining; Exploratory data anal- ysis; Learning analytics; Machine learning; Paral- lel computing; Predictive analytics; Python; Simulation; Spark; Visualization,Artificial intelligence; Computer software; Data mining; Data visualization; Digital storage; Distributed database systems; E-learning; Education; Electric sparks; Flow visualization; High level languages; Learning systems; Teaching; Visualization; Educational data mining; Exploratory data anal- ysis; Learning analytics; Paral- lel computing; Predictive analytics; Python; Simulation; Big data
"Contexts, critiques, and consequences: A discussion about educational data mining and learning analytics","The capture, aggregation, and analysis of student data is becoming ubiquitous at all levels of education—from primary to post-secondary—as institutions increase their adoption of information technologies to serve administrative and educational ends. In part, this has led to a growing interest among education scientists and administrators in strategically mining and analyzing troves of data in order to uncover student behaviors and intervene in student life. As is the case in other contexts where actors are pursuing Big Data's supposed benefits, educational data mining is fraught with moral, ethical, and political conflict. The panel is composed of four researchers who analyze and critique educational data mining practices and learning analytics initiatives in particular micro-and macro-contexts, including academic libraries and professional advising, urban schools, graduate-level online learning, and higher education generally. Each panelist also represents a unique conceptual background, pulling from work in information ethics and policy, critical data studies, documentation studies, and higher education policy to empirically analyze and critically evaluate tools, systems, practices, policies, and values. Through their individual but thematically intertwined perspectives, the panelists will present their research and lead audience members in discussion. Copyright © 2018 by Association for Information Science and Technology",critical data studies; documentation studies; Educational data mining; information policy; learning analytics,
Classification model to predict the learners' academic performance using big data,"Big Data is an emerging technology. There are many applications using this concept and area of implementation is still larger. Different examples such as transport, healthcare, industry, and education. In recent years, the amount of data stored is developing rapidly. The main goal is to make a survey on 'Classification model to predict the learners' academic performance using big data' to develop a model in order to predict students' semester grade result and also predict final year student campus placement. The ability to predict the student performance in education is very significant in educational environments. The stored database contains students' information to improve students' perspective and behavior. This paper shows Big Data trends and types of analyzes should be performed to improve education process. © 2016 IEEE.",Big data; Educational data mining (EDM); Hadoop; MapReduce; Performance; Predictive analytics; Students',Data mining; Education; Education computing; Forecasting; Intelligent computing; Students; Educational data minings (EDM); Hadoop; Map-reduce; Performance; Predictive analytics; Big data
Design of adaptive learning system based on big data,"In 1 recent years, with the rise and development of big data technology, research about big data of education has gradually become a hot research. Big data of education is an important means of modernization educational change based on data acquisition and analysis technology. The major applications of big data in education are educational data mining, learning analysis and educational decision-making and so on [1]. With the combination of big data and education, adaptive learning system [2] gradually into our sight. Adaptive learning system is a system that can provide a personalized learning service for learners. The system can recommended personalized learning path and learning resources according to learners' various characteristics and behavioral tendencies, such as learning style, media tendency, interest, cognitive level and so on. This paper aims to design an adaptive learning system based on the big data in education. The system contains four modules: Domain module, student module, adaptive recommendation module and visual display module. © 2017 Association for Computing Machinery.",Adaptive learning; Big data; Data mining,Data acquisition; Data mining; Decision making; Learning systems; Modernization; Technology transfer; Adaptive learning; Adaptive learning systems; Big data technologies; Cognitive levels; Educational data mining; Educational decision; Learning resource; Personalized learning; Big data
"Educational data sciences - Framing emergent practices for analytics of learning, organizations, and systems","In this paper, we develop a conceptual framework for organizing emerging analytic activities involving educational data that can fall under broad and often loosely defined categories, including Academic/Institutional Analytics, Learning Analytics/ Educational Data Mining, Learner Analytics/Personalization, and Systemic Instructional Improvement. While our approach is substantially informed by both higher education and K-12 settings, this framework is developed to apply across all educational contexts where digital data are used to inform learners and the management of learning. Although we can identify movements that are relatively independent of each other today, we believe they will in all cases expand from their current margins to encompass larger domains and increasingly overlap. The growth in these analytic activities leads to the need to find ways to synthesize understandings, find common language, and develop frames of reference to help these movements develop into a field. Copyright © 2014 by the Association for Computing Machinery, Inc.",Analytic approaches; And tools for sense-making in learning analytics. theories and theoretical concepts for understanding learning. learning analytics; Big data; Data-driven decisions; Educational data mining; Educational data science; Learner analytics; Methods,Data mining; Education; Analytic approach; Big datum; Data-driven decisions; Educational data mining; Educational data science; Learner analytics; Methods; Sensemaking; Learning systems
E-Book-Based Learning Analytics for Improving Learning Materials,"The purpose of this paper is to mine or detect meaningful information for improving learning materials using e-book-based logs. The analysis and visualization methods of this study use association analysis with Apriori algorithm. Logs for e-book-based learning analytics were collected in an e-book system. In order to analyze and visualize the collected logs, this paper proposes a system called SILM (System for Improving Learning Materials). Using SILM, instructors or teachers can find the learning materials that should be improved. We believe that improving learning materials with analyzing and visualizing educational big data lead to improving student results. © 2017 IEEE.",Association analysis; E-book; Educational data mining; Learning analytics,Big data; Data mining; Electronic publishing; Teaching; Apriori algorithms; Association analysis; E-books; Educational data mining; Improving learning; Learning analytics; Learning materials; Visualization method; Education
Effectiveness analysis of machine learning in education big data,"In the education big data environment, the online data and information of the current education industry learning resources supply become complex and diverse. Different scenarios and different analysis environments face different learners. Combined with the current education field in China, prediction, evaluation and analysis play an important application value and broad space for education and teaching. Machine learning technology has strong learning ability. Breaking the limitation of time and space, deeply analyzing the rationality of data relationship and obtaining the effectiveness evaluation are the effective means to explore this field. As well as a way to summarize the general rules and trends of using machine learning in education big data and educational data mining. © 2020 Published under licence by IOP Publishing Ltd.",,Big data; Machine learning; Data relationships; Education industry; Educational data mining; Effectiveness analysis; Effectiveness evaluation; Evaluation and analysis; Learning abilities; Machine learning technology; Data mining
Big data analytics model for the education sector,"With an array of innovative technologies, the 21st century has struck at our door. Many sectors are embracing the implementation of a revolutionary technology called Big Data Analytics. The education sector has lately jumped on the bandwagon. With the new evolving education technology capable of generating Big Data, stakeholders have firmly started adopting the use of Big Data Analytics in the education sector. This paper proposes a model for Big Data Analytics depicting various required components, for the education sector. Various sources of education data provide the necessary input to the model and model produces useful results in the form of the output using various tools and technologies of Big Data ecosystem. The outputs are going to be consumed by various stakeholders of the education sector. The paper also describes the concept of Big Data, new technologies influencing the education sector and explains why Big Data Analytics is going to be core technology in analyzing the data and taking the world of education to new heights. We have also listed beneficiaries and benefits. © BEIESP.",Big Data Analytics; Educational Data Mining; Higher Education; Learning Analytics,
A big data architecture for learning analytics in higher education,"Data with high volume, velocity, variety and veracity brings the new experience curve of analytics. Big data in higher education comes from different sources that include blogs, social networks, student information systems, learning management systems, research, and other machine-generated data. Once the data is analysed it promises better student placement processes; more accurate enrolment forecasts, and early warning systems that identify and assist students at-risk of failing or dropping out. Big data is becoming a key to creating competitive advantages in higher education. Like with any organization, traditional data processing and analysis of structured and unstructured data using RDBMS and data warehousing no longer satisfy big data challenges. The lack of adequate conceptual architectures for big data tailored for institutions of higher education has led to many failures to produce meaningful, accessible, and timely information for decision making. Therefore, this calls for the development of conceptual architectures for big data in higher education. This paper presents an architecture for big data analytics in higher education. © 2017 IEEE.",Big data; Educational data mining; Learning analytics,Competition; Data handling; Data mining; Data warehouses; Decision making; Education; Information management; Network architecture; Students; Technological forecasting; Competitive advantage; Conceptual architecture; Data processing and analysis; Early Warning System; Educational data mining; Institutions of higher educations; Learning analytics; Learning management system; Big data
Big Data and learning analytics in higher education: Legal and ethical considerations,"The legal and ethical use of Big Data and Learning Analytics in academic libraries has been widely debated. Analyzing large data sets has tremendous potential for libraries to implement changes that help students and prove the library’s value to the university. The librarian’s role in safeguarding patron privacy in a university setting where learning analytics of Big Data is becoming the norm is still in the formative phase. This is a literature review on the ethical use of Big Data in universities and librarians’ ethical commitment to patrons. Student profiling, legislative response to technology, and ownership of information gathered are discussed. © 2020 The Author(s). Published with license by Taylor & Francis Group, LLC.",Academic libraries; Big Data; ethics; higher education; learning analytics; librarianship,
Educational data mining perspectives within university big data environment,"All organizations are working nowadays in a very dynamic and strongly competitive environment. In order to survive and remain competitive, they need to take timely, adequate and informed decisions that are based not only on intuition and past experience. The main challenges for data analysis are related with the specific characteristics of 'big data' and the availability of suitable analytical tools for knowledge extraction that would support the processes of taking strategic management decisions. While 'big data' are already widely available and used in business, there are only rare cases of utilizing 'big data' in the educational sector. The main purpose of this paper is to focus on the challenges related to the analytical processing of 'big data' generated and stored at higher education institutions. The paper discusses the unique opportunities that Big Data analysis could give for the educational sector development and the improvements that could scale from a single school, to governmental directions and satisfaction of the labor market. However, big data analytics confronts universities with great challenges as well, related to finding appropriate methods and tools for extracting knowledge and patterns from extremely rich and complex data sets, and integrating the insights into a coherent vision for strategic management decisions. © 2017 IEEE.",Big Data; Educational Data Mining; Educational Industry,Data handling; Data mining; Decision making; Engineering research; Strategic planning; Big Data Analytics; Competitive environment; Educational data mining; Educational sectors; Higher education institutions; Informed decision; Knowledge extraction; Strategic management; Big data
Mining Educational Data for Academic Accreditation: Aligning Assessment with Outcomes,"Institutions in higher education generate terabytes of data that has great value to shape future of nations. This Big Data is in heterogeneous formats, very current, and in large volumes. We propose a framework to collect, scope and verify this large amount of data. The analysis of the data is used to evaluate the institution against a standard set by an accreditation body, for the purpose of the academic accreditation of higher education programs. Therefore, the framework reduces human involvement in accreditation. The paper provides the detailed design of the process of aligning assessment with student learning outcomes. © 2016, Global Institute of Flexible Systems Management.",Big Data; Educational data mining; Higher education; Learning analytics,
Big data and learning analytics: A potential way to optimize elearning technological tools,"In the information age, one of the most influential institutions is education. The recent emergence of MOOCS is a sample of the new expectations that are offered to university students. Basing decisions on data and evidence seems obvious, and indeed, research indicates that data-driven decision-making improves organizational productivity. The most dramatic factor shaping the future of higher education is Big Data and analytics. Big Data emphasizes that the data itself is a path to value generation in organizations and it is, also, a critical value for higher education institutions. The emerging practice of academic analytics is likely to become a new useful tool for a new era. Analytics and big data have a significant role to play in the future of higher education. This paper attempts an analytical practice about the use of e-learning technological tools to generate relevant information, for the teacher and the students who try to optimize their learning process.This combination of data-processing and analytical learning is an aid to improve significantly higher education and mark the path to follow in the new educational era.",Big Data; Educational Data Mining; Learning Analytics; Learning Management System; Technological Elearning Tools,Big datum; E-learning tool; Educational data mining; Learning Analytics; Learning management system; E-learning; Information management; Optimization; Tools; Engineering education
Application of machine learning on student data for the appraisal of academic performance,"Education With the inclusion and integration of internet and digital learning Education 2. 0 brought tools in the different context of education. The use of social networking concepts such as chat rooms and the ever-growing student data have placed education on the brink of becoming one of the craters and users of Big Data. As such, this paper explores educational data mining techniques alongside some of the emerging learning analytics with the objective of gaining insight into some of the common learning behaviors among students. The task at hand embraces predictive analytics and it employs decision trees, neural networks, and Naïve Bayes algorithms to classify and cluster student learning patterns that can explain academic performance. Predictive analytics has emerged as one of the tools furthering adaptive learning among other lifechanging novelties. Nonetheless, integration of big data in academia is in its infancy although the western hemisphere is making progress towards the integration. Such progress will increase the relevance of data mining in education and this paper envisages to be among the first ones to address the applicability of machine learning in improving education. Hence, the objective of this paper is to develop predictive models based on the decision tree, neural network, and Naïve Bayes algorithms. © 2018 IEEE.",Academic Analytics; Decision Trees; Education 2.0; Educational Data Mining; Learning Analytics; Neural Networks,Big data; Data mining; Decision trees; E-learning; Education computing; Integration; Machine learning; Neural networks; Predictive analytics; Trees (mathematics); Academic Analytics; Academic performance; Adaptive learning; Educational data mining; Learning Analytics; Learning behavior; Predictive models; Student learning; Students
